"timestamp","w","i_b_value"
2022-10-01 03:07:53.010,29.0,115.60693359375
2022-10-01 03:08:53.010,29.0,114.35888671875
2022-10-01 03:09:53.010,29.0,115.8251953125
2022-10-01 03:10:53.010,29.0,115.87939453125
2022-10-01 03:11:53.010,28.0,116.71142578125
2022-10-01 03:12:53.007,28.0,117.12744140625
2022-10-01 03:13:53.007,28.0,116.80224609375
2022-10-01 03:14:53.010,29.0,116.29541015625
2022-10-01 03:15:53.007,28.0,116.42138671875
2022-10-01 03:16:53.010,29.0,114.84814453125
2022-10-01 03:17:53.007,29.0,113.72607421875
2022-10-01 03:18:53.007,29.0,113.72607421875
2022-10-01 03:19:53.010,29.0,114.54052734375
2022-10-01 03:20:53.010,29.0,114.77490234375
2022-10-01 03:21:53.010,28.0,115.26416015625
2022-10-01 03:22:53.010,29.0,115.0283203125
2022-10-01 03:23:53.010,29.0,115.80615234375
2022-10-01 03:24:53.007,28.0,116.349609375
2022-10-01 03:25:53.010,28.0,116.2763671875
2022-10-01 03:26:53.010,28.0,117.796875
2022-10-01 03:27:53.007,29.0,116.80224609375
2022-10-01 03:28:53.007,28.0,117.380859375
2022-10-01 03:29:53.010,28.0,117.3984375
2022-10-01 03:30:53.010,28.0,117.19921875
2022-10-01 03:31:53.007,29.0,117.14501953125
2022-10-01 03:32:53.007,29.0,115.80615234375
2022-10-01 03:33:53.010,30.0,114.720703125
2022-10-01 03:34:53.007,30.0,112.11474609375
2022-10-01 03:35:53.010,31.0,108.94921875
2022-10-01 03:36:53.010,31.0,109.400390625
2022-10-01 03:37:53.010,31.0,108.58740234375
2022-10-01 03:38:53.010,31.0,109.51025390625
2022-10-01 03:39:53.010,31.0,110.34228515625
2022-10-01 03:40:53.007,31.0,109.8896484375
2022-10-01 03:41:53.010,31.0,107.88134765625
2022-10-01 03:42:53.010,31.0,107.59130859375
2022-10-01 03:43:53.007,31.0,107.15771484375
2022-10-01 03:44:53.007,31.0,107.8623046875
2022-10-01 03:45:53.010,31.0,107.17529296875
2022-10-01 03:46:53.010,31.0,105.03955078125
2022-10-01 03:47:53.010,31.0,104.71435546875
2022-10-01 03:48:53.007,31.0,105.4013671875
2022-10-01 03:49:53.010,32.0,103.39306640625
2022-10-01 03:50:53.010,32.0,103.79150390625
2022-10-01 03:51:53.007,31.0,104.80517578125
2022-10-01 03:52:53.010,31.0,104.28076171875
2022-10-01 03:53:53.010,31.0,104.62353515625
2022-10-01 03:54:53.010,31.0,104.5341796875
2022-10-01 03:55:53.007,32.0,103.50146484375
2022-10-01 03:56:53.010,31.0,103.9541015625
2022-10-01 03:57:53.010,31.0,103.66552734375
2022-10-01 03:58:53.007,32.0,102.01904296875
2022-10-01 03:59:53.010,32.0,102.181640625
2022-10-01 04:00:53.007,31.0,102.43505859375
2022-10-01 04:01:53.007,32.0,101.2939453125
